ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" CustomFormatter=\"{&quot;elmType&quot;:&quot;div&quot;,&quot;style&quot;:{&quot;flex-wrap&quot;:&quot;wrap&quot;,&quot;display&quot;:&quot;flex&quot;},&quot;children&quot;:[{&quot;elmType&quot;:&quot;div&quot;,&quot;style&quot;:{&quot;box-sizing&quot;:&quot;border-box&quot;,&quot;padding&quot;:&quot;4px 8px 5px 8px&quot;,&quot;overflow&quot;:&quot;hidden&quot;,&quot;text-overflow&quot;:&quot;ellipsis&quot;,&quot;display&quot;:&quot;flex&quot;,&quot;border-radius&quot;:&quot;16px&quot;,&quot;height&quot;:&quot;24px&quot;,&quot;align-items&quot;:&quot;center&quot;,&quot;white-space&quot;:&quot;nowrap&quot;,&quot;margin&quot;:&quot;4px 4px 4px 4px&quot;},&quot;attributes&quot;:{&quot;class&quot;:{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;approval&quot;]},&quot;sp-css-backgroundColor-BgGreen sp-css-borderColor-WhiteFont sp-css-color-WhiteFont&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;reject&quot;]},&quot;sp-css-backgroundColor-BgRed sp-css-borderColor-WhiteFont sp-css-color-WhiteFont&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;&quot;]},&quot;&quot;,&quot;sp-field-borderAllRegular sp-field-borderAllSolid sp-css-borderColor-neutralSecondary&quot;]}]}]}},&quot;children&quot;:[{&quot;elmType&quot;:&quot;span&quot;,&quot;style&quot;:{&quot;overflow&quot;:&quot;hidden&quot;,&quot;text-overflow&quot;:&quot;ellipsis&quot;,&quot;padding&quot;:&quot;0 3px&quot;},&quot;txtContent&quot;:&quot;@currentField&quot;,&quot;attributes&quot;:{&quot;class&quot;:{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;approval&quot;]},&quot;sp-css-color-WhiteFont&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;reject&quot;]},&quot;sp-css-color-WhiteFont&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;&quot;]},&quot;&quot;,&quot;&quot;]}]}]}}}]}],&quot;templateId&quot;:&quot;BgColorChoicePill&quot;}\" DisplayName=\"status\" FillInChoice=\"FALSE\" Format=\"Dropdown\" Name=\"status\" Title=\"status\" Type=\"Choice\" ID=\"{eb394276-d92f-4f25-a44f-31cea08bf860}\" StaticName=\"status\"><CHOICES><CHOICE>approval</CHOICE><CHOICE>reject</CHOICE></CHOICES></Field>","<Field DisplayName=\"create\" FriendlyDisplayFormat=\"Disabled\" Format=\"DateOnly\" IsModern=\"TRUE\" Name=\"create\" Title=\"create\" Type=\"DateTime\" ID=\"{496d6088-60d3-4c93-a00b-2f41a613c89e}\" StaticName=\"create\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Title\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Title","status","create"
,"approval","10/9/2024"
,"approval","10/9/2024"
,"approval","10/9/2024"
,"approval","10/9/2024"
,"approval","10/9/2024"
,"approval","10/9/2024"
,"approval","10/9/2024"
,"approval","10/9/2024"
,"approval","10/10/2024"
,"approval","10/10/2024"
,"approval","10/10/2024"
,"approval","10/10/2024"
,"approval","10/10/2024"
,"approval","10/10/2024"
,"approval","10/10/2024"
,"approval","10/10/2024"
,"approval","10/10/2024"
,"reject","10/10/2024"
,"reject","10/10/2024"
,"reject","10/10/2024"
,"reject","10/10/2024"
,"reject","10/10/2024"
,"reject","10/10/2024"
,"reject","10/10/2024"
,"reject","10/10/2024"
,"reject","10/10/2024"
,"reject","10/10/2024"
,"reject","10/10/2024"
,"reject","10/10/2024"
,"reject","10/10/2024"
,"reject","10/10/2024"
,"reject","10/10/2024"
,"reject","10/10/2024"
,"approval","10/14/2024"
,"approval","10/14/2024"
,"approval","10/14/2024"
,"approval","10/14/2024"
,"approval","10/14/2024"
,"approval","10/14/2024"
,"approval","10/14/2024"
,"approval","10/14/2024"
,"approval","10/14/2024"
,"approval","10/14/2024"
,"approval","10/14/2024"
,"approval","10/14/2024"
,"approval","10/14/2024"
,"approval","10/14/2024"
,"approval","10/14/2024"
,"approval","10/14/2024"
,"approval","10/15/2024"
,"approval","10/15/2024"
,"approval","10/15/2024"
,"approval","10/15/2024"
,"approval","10/15/2024"
,"reject","10/15/2024"
,"reject","10/15/2024"
,"reject","10/15/2024"
,"reject","10/15/2024"
,"reject","10/15/2024"
,"reject","10/15/2024"
,"reject","10/15/2024"
,"reject","10/15/2024"
,"approval","10/15/2024"
,"approval","10/15/2024"
,"approval","10/17/2024"
,"approval","10/17/2024"
,"approval","10/17/2024"
,"approval","10/17/2024"
,"reject","10/17/2024"
,"reject","10/17/2024"
,"approval","10/17/2024"
,"approval","10/24/2024"
,"approval","10/24/2024"
,"approval","10/24/2024"
,"approval","10/24/2024"
,"approval","10/24/2024"
,"approval","10/26/2024"
,"approval","10/26/2024"
,"approval","10/27/2024"
,"approval","10/29/2024"
,"approval","10/29/2024"
